Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PnG Merchandising With Channel Wise Data Verification,,,2019-01-11 16:26:54,2019-01-11 17:57:31,1h - 30m - 37.703s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-01-11 16:26:54,2019-01-11 16:27:17,23.108s,PASSED
"startApplication(""F:\QA_Automation\Builds\png_070818_live_v152.apk"", false)",,launch application,2019-01-11 16:26:55,2019-01-11 16:27:12,17.287s,PASSED
delay(5),,delay of 5 seconds,2019-01-11 16:27:12,2019-01-11 16:27:17,5.059s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithChannelWiseDataVerification,,,2019-01-11 16:27:17,2019-01-11 17:57:31,1h - 30m - 14.177s,PASSED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-01-11 16:27:17,2019-01-11 16:27:20,2.920s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-01-11 16:27:20,2019-01-11 16:27:23,2.999s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-01-11 16:27:23,2019-01-11 16:27:25,1.248s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-01-11 16:27:25,2019-01-11 16:27:26,1.554s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWithDataVerification(),,select shops from shops list for data verification,2019-01-11 16:27:26,2019-01-11 17:57:31,1h - 30m - 5.174s,PASSED
