Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Visit HFS Shop With Overwrite Scenarios,,,2018-05-14 16:58:30,2018-05-14 17:03:50,5m - 19.939s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-05-14 16:58:31,2018-05-14 16:59:06,35.628s,PASSED
startApplication,,,2018-05-14 16:58:32,2018-05-14 16:59:01,29.658s,PASSED
delay,,,2018-05-14 16:59:01,2018-05-14 16:59:06,5.103s,PASSED
,,,,,,
Test Cases/ChooseHFSShop/SelectAndStartYourDay,,,2018-05-14 16:59:06,2018-05-14 16:59:12,5.773s,PASSED
verifyElementExist,,,2018-05-14 16:59:07,2018-05-14 16:59:08,0.950s,PASSED
customKeywordsCollection.CustomKeywords.selectCurrentDay,,,2018-05-14 16:59:08,2018-05-14 16:59:09,0.863s,PASSED
tap,,,2018-05-14 16:59:09,2018-05-14 16:59:10,1.330s,PASSED
delay,,,2018-05-14 16:59:10,2018-05-14 16:59:11,1.009s,PASSED
delay,,,2018-05-14 16:59:11,2018-05-14 16:59:12,1.006s,PASSED
,,,,,,
Test Cases/ChooseHFSShop/ChooseShopForShopClosed,,,2018-05-14 16:59:12,2018-05-14 16:59:18,5.803s,PASSED
verifyElementText,,,2018-05-14 16:59:13,2018-05-14 16:59:13,0.373s,PASSED
delay,,,2018-05-14 16:59:13,2018-05-14 16:59:14,1.008s,PASSED
customKeywordsCollection.CustomKeywords.selectHFSShop,,select the HFS shop to proceed further\r\n,2018-05-14 16:59:14,2018-05-14 16:59:18,3.917s,PASSED
,,,,,,
Test Cases/ChooseHFSShop/ShopClosed/VisitShopClosed,,,2018-05-14 16:59:18,2018-05-14 17:00:03,44.562s,PASSED
verifyElementText,,,2018-05-14 16:59:19,2018-05-14 16:59:19,0.287s,PASSED
delay,,,2018-05-14 16:59:19,2018-05-14 16:59:20,1.009s,PASSED
tap,,,2018-05-14 16:59:20,2018-05-14 16:59:21,1.559s,PASSED
delay,,,2018-05-14 16:59:21,2018-05-14 16:59:39,18.007s,PASSED
verifyElementExist,,,2018-05-14 16:59:39,2018-05-14 16:59:40,0.334s,PASSED
delay,,,2018-05-14 16:59:40,2018-05-14 16:59:41,1.008s,PASSED
